,Modelo,Clasificación energética ,Consumo mínimo (l/100Km),Consumo máximo (l/100Km),Emisiones mínimas (gCO2/km),Emisiones máximas (gCO2/km)
0,Jaguar E-PACE 2.0 I4 200 CV AWD Auto - HSE/R-Dynamic HSE,E,"9,4","10,7","212,4","242,4"
1,Jaguar E-PACE 2.0 I4 200 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE,E,"9,4","10,7","212,4","242,4"
2,Jaguar E-PACE 2.0 I4 249 CV AWD Auto - HSE/R-Dynamic HSE,E,"9,5","10,4","215,1","235,9"
3,Jaguar E-PACE 2.0 I4 249 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE,E,"9,5","10,4","215,1","235,9"
4,Jaguar E-PACE 2.0 I4 300 CV AWD Auto - HSE/R-Dynamic HSE,F,"10,0","10,7","227,5","243,7"
5,Jaguar E-PACE 2.0 I4 300 CV AWD Auto - S/SE/R-Dynamic S/R-Dynamic SE,E,"10,0","10,7","227,5","243,7"
6,Jaguar E-PACE 2.0D I4 150 CV AWD Auto - HSE/R-Dynamic HSE,E,"7,2","8,3","187,7","217,7"
7,Jaguar E-PACE 2.0D I4 150 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE,D,"7,2","8,3","187,7","217,7"
8,Jaguar E-PACE 2.0D I4 150 CV AWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S,D,"6,8","7,5","177,0","196,5"
9,Jaguar E-PACE 2.0D I4 150 CV FWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S,C,"6,6","7,2","173,8","188,7"
10,Jaguar E-PACE 2.0D I4 180 CV AWD Auto - HSE/R-Dynamic HSE,E,"7,2","8,3","187,7","217,7"
11,Jaguar E-PACE 2.0D I4 180 CV AWD Auto - Standard/S/SE/R-Dynamic Base/R-Dynamic S/R-Dynamic SE,D,"7,2","8,3","187,7","217,7"
12,Jaguar E-PACE 2.0D I4 180 CV AWD Manual - Standard/S/R-Dynamic Base/R-Dynamic S,D,"6,9","7,5","179,6","197,6"
13,Jaguar E-PACE 2.0D I4 240 CV AWD Auto - HSE/R-Dynamic HSE,F,"7,6","8,8","200,2","230,2"
14,Jaguar E-PACE 2.0D I4 240 CV AWD Auto - S/SE/R-Dynamic S/R-Dynamic SE,E,"7,6","8,8","200,2","230,2"
15,Jaguar F-PACE 2.0 I4 250 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio,C,"9,1","10,4","206,9","236,4"
16,Jaguar F-PACE 2.0 I4 300 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio,C,"9,5","10,8","213,9","243,4"
17,Jaguar F-PACE 2.0D I4 163 CV RWD Manual - Pure/Prestige/R-Sport/Portfolio,B,"6,3","7,0","163,4","182,7"
18,Jaguar F-PACE 2.0D I4 180 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio,C,"6,7","7,7","175,6","202,9"
19,Jaguar F-PACE 2.0D I4 180 CV RWD Auto - Pure/Prestige/R-Sport/Portfolio,C,"6,5","7,1","170,2","186,6"
20,Jaguar F-PACE 2.0D I4 240 CV AWD Auto - Pure/Prestige/R-Sport/Portfolio,D,"6,9","8,0","180,8","210,6"
21,Jaguar F-PACE 3.0D V6 TD 300 CV AWD Auto - Pure/Prestige/R-Sport/S/Portfolio,D,"7,5","8,4","196,5","220,5"
22,Jaguar F-PACE 5.0 V8 550 CV AWD Auto - SVR,G,"12,5","12,5","281,0","281,0"
23,Jaguar F-TYPE 2.0 I4 221 kW (300 CV) RWD Auto - F-Type/R-Dynamic - Convertible,D,"9,0","9,3","204,4","211,2"
24,Jaguar F-TYPE 2.0 I4 221 kW (300 CV) RWD Auto - F-Type/R-Dynamic - Cupé,D,"9,0","9,3","204,4","211,2"
25,Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Auto - F-Type/R-Dynamic - Convertible,F,"11,3","11,3","254,3","254,3"
26,Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Auto - F-Type/R-Dynamic - Cupé,F,"11,3","11,3","254,3","254,3"
27,Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Manual - F-Type/R-Dynamic - Convertible,G,"9,8","10,3","222,3","231,8"
28,Jaguar F-TYPE 3.0 V6 S/C 250 kW (340 CV) RWD Manual - F-Type/R-Dynamic - Cupé,G,"9,8","10,3","222,3","231,8"
29,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) AWD Auto - F-Type/R-Dynamic - Convertible,G,"11,1","11,3","250,5","255,8"
30,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) AWD Auto - F-Type/R-Dynamic - Cupé,G,"11,1","11,3","250,5","255,8"
31,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Auto - F-Type/R-Dynamic - Convertible,F,"10,5","10,9","237,5","245,9"
32,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Auto - F-Type/R-Dynamic - Cupé,F,"10,5","10,9","237,5","245,9"
33,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Manual - F-Type/R-Dynamic - Convertible,G,"11,5","11,5","260,1","260,1"
34,Jaguar F-TYPE 3.0 V6 S/C 280 kW (380 CV) RWD Manual - F-Type/R-Dynamic - Cupé,G,"11,5","11,5","260,1","260,1"
35,"Jaguar F-TYPE 5,0 V8 S/C 405 kW (550 CV) AWD Auto - R - Convertible",G,"10,8","11,1","246,0","251,0"
36,"Jaguar F-TYPE 5,0 V8 S/C 423 kW (575 CV) AWD Auto - SVR - Convertible",G,"11,1","11,1","251,0","251,0"
37,Jaguar F-TYPE 5.0 V8 S/C 405 kW (550 CV) AWD Auto - R - Cupé,G,"10,8","11,1","246,0","251,0"
38,Jaguar F-TYPE 5.0 V8 S/C 423 kW (575 CV) AWD Auto - SVR - Cupé,G,"11,1","11,1","251,0","251,0"
39,Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 415 km,Sin clasificación,"0,0","0,0","0,0","0,0"
40,Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 470 km,Sin clasificación,"0,0","0,0","0,0","0,0"
41,Jaguar XE 2.0 I4 200 CV RWD Auto - Pure/Prestige/Portfolio/Landmark Edition,C,"8,1","8,7","182,8","196,7"
42,Jaguar XE 2.0 I4 200 CV RWD Auto - R-Sport,C,"8,1","8,7","182,8","196,7"
43,Jaguar XE 2.0 I4 250 CV RWD Auto - Pure/Prestige/Portfolio/Landmark Edition,C,"8,1","9,3","182,8","211,3"
44,Jaguar XE 2.0 I4 250 CV RWD Auto - R-Sport,C,"8,1","9,3","182,8","211,3"
45,Jaguar XE 2.0 I4 300 CV AWD Auto - Pure/Prestige/Portfolio,C,"8,5","9,8","192,5","221,6"
46,Jaguar XE 2.0 I4 300 CV AWD Auto - R-Sport/300 Sport,D,"8,5","9,8","192,5","221,6"
47,Jaguar XE 2.0D I4 163 CV RWD Auto - Pure/Prestige/R-Sport/Portfolio,B,"5,6","6,4","147,6","167,7"
48,Jaguar XE 2.0D I4 163 CV RWD Manual - Pure/Prestige/R-Sport/Portfolio,B,"5,6","6,2","145,4","162,6"
49,Jaguar XE 2.0D I4 180 CV AWD Auto - Portfolio/Landmark Edition,C,"6,3","7,5","166,4","196,3"
50,Jaguar XE 2.0D I4 180 CV AWD Auto - Pure/Prestige/R-Sport,C,"6,3","7,5","166,4","196,3"
51,Jaguar XE 2.0D I4 180 CV RWD Auto - Portfolio/Landmark Edition,C,"5,6","6,7","147,6","175,8"
52,Jaguar XE 2.0D I4 180 CV RWD Auto - Pure/Prestige/R-Sport,C,"5,6","6,7","147,6","175,8"
53,Jaguar XE 2.0D I4 180 CV RWD Manual - Portfolio/Landmark Edition,B,"5,5","6,6","144,8","171,7"
54,Jaguar XE 2.0D I4 180 CV RWD Manual - Pure/Prestige/R-Sport,B,"5,5","6,6","144,8","171,7"
55,Jaguar XE 2.0D I4 240 CV AWD Auto - Portfolio/Landmark Edition,C,"6,7","7,8","174,8","204,7"
56,Jaguar XE 2.0D I4 240 CV AWD Auto - Pure/Prestige/R-Sport,D,"6,7","7,8","174,8","204,7"
57,Jaguar XF 2.0 I4 250 CV RWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio,B,"8,1","9,3","182,8","211,3"
58,Jaguar XF 2.0 I4 250 CV RWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio,B,"8,1","9,3","182,8","211,3"
59,Jaguar XF 2.0 I4 300 PS AWD Auto Berlina - 300 Sport,C,"8,5","9,8","192,5","221,6"
60,Jaguar XF 2.0 I4 300 PS AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio,B,"8,5","9,8","192,5","221,6"
61,Jaguar XF 2.0 I4 300 PS AWD Auto Sportbrake - 300 Sport,C,"8,5","9,8","192,5","221,6"
62,Jaguar XF 2.0 I4 300 PS AWD Auto Sportbrake - Prestige/R-Sport/Portfolio,C,"8,5","9,8","192,5","221,6"
63,Jaguar XF 2.0D I4 163 CV RWD Auto Berlina - Pure/Prestige,B,"5,6","6,4","147,6","167,7"
64,Jaguar XF 2.0D I4 163 CV RWD Auto Sportbrake - Pure/Prestige,B,"5,6","6,4","147,6","167,7"
65,Jaguar XF 2.0D I4 163 CV RWD Manual Berlina - Pure/Prestige,A,"5,6","6,2","145,4","162,6"
66,Jaguar XF 2.0D I4 163 CV RWD Manual Sportbrake - Pure/Prestige,B,"6,0","6,4","158,5","167,5"
67,Jaguar XF 2.0D I4 180 CV AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio,B,"6,3","7,5","166,4","196,3"
68,Jaguar XF 2.0D I4 180 CV AWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio,C,"6,3","7,5","166,4","196,3"
69,Jaguar XF 2.0D I4 180 CV RWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio,B,"5,6","5,7","147,6","175,8"
70,Jaguar XF 2.0D I4 180 CV RWD Auto Sportbrake - Pure/Prestige/R-Sport/Portfolio,B,"5,6","5,7","147,6","175,8"
71,Jaguar XF 2.0D I4 180 CV RWD Manual Berlina - Pure/Prestige/R-Sport/Portfolio,B,"5,5","6,6","144,8","171,7"
72,Jaguar XF 2.0D I4 240 CV AWD Auto Berlina - Pure/Prestige/R-Sport/Portfolio,C,"6,7","7,8","174,8","204,7"
73,Jaguar XF 2.0D I4 240 CV AWD Auto Sportbrake - Prestige/R-Sport/Portfolio,C,"6,7","7,8","174,8","204,7"
74,Jaguar XF 3.0D TDV6 300 CV RWD Auto Berlina - 300 Sport/S,C,"6,5","7,5","169,8","197,7"
75,Jaguar XF 3.0D TDV6 300 CV RWD Auto Berlina - Prestige/R-Sport/Portfolio,C,"6,5","7,5","169,8","197,7"
76,Jaguar XF 3.0D TDV6 300 CV RWD Auto Sportbrake - 300 Sport/S,C,"6,5","7,5","169,8","197,7"
77,Jaguar XF 3.0D TDV6 300 CV RWD Auto Sportbrake - Portfolio,C,"6,5","7,5","169,8","197,7"
78,Jaguar XJ 3.0 V6 DIESEL 300 CV LWB - PORTFOLIO/AUTOBIOGRAPHY,D,"7,5","7,9","196,2","208,7"
79,Jaguar XJ 3.0 V6 DIESEL 300 CV SWB - LUXURY/PREMIUM LUXURY/PORTFOLIO/R-SPORT/XJ50,D,"7,5","7,9","196,2","208,7"
